Invoice No.,Item Name
20984,['South Indian Filter Kaapi (150 ML)']
20985,"['South Indian Filter Kaapi (150 ML)', 'Cafe Latte (250 ML)']"
20986,['Espresso Tonic (Tonic Water)']
20987,"['Iced Latte (350 ML)', 'Origanal South Indian Frappe (350 ML)']"
20988,"['Bon Bon (350 ML)', 'Vietnamese (350 ML)']"
20989,"['Hazelnut Frappe (350 ML)', 'Iced Americano (350 ML)']"
20990,['South Indian Filter Kaapi (150 ML)']
20991,"['Cappucino (250 ML)', 'Choco-crinkle-cookies (COMBO 3 PCS)']"
20992,"['Madagascar Hot Chocolate (250 ML)', 'Hazelnut Frappe (350 ML)']"
20993,"['Iced Americano (350 ML)', 'Add On Syrup (Add On Irish Syrup)', 'Kaapicino (250 ML)']"
20994,"['Papparoti (Plain)', 'Nariyal Irish Cream Frappe (450 ML)']"
20995,"['Mix Tartlet 3 Pcs (salted Caramel tartlet)', 'Mix Tartlet 3 Pcs (chocolate Tartlet)', 'Sea Salt Dark Mocha (250 ML)', 'Bon Bon (350 ML)', 'Almond Honey Latte (250 ML)', 'Hazelnut Frappe (350 ML)', 'Mix Tartlet 3 Pcs (Filter Kaapi Tartlet)', 'Mix Tartlet 3 Pcs (kodai cheese tartlet)']"
20996,"['Madagascar Chocochip Frappe (350 ML)', 'Caramel Frappe (350 ML)']"
20997,['Madagascar Chocochip Frappe (350 ML)']
20998,"['Origanal South Indian Frappe (350 ML)', 'South Indian Filter Kaapi (250 ML)']"
21000,"['Cafe Latte (250 ML)', 'Sea Salt Dark Mocha (250 ML)', 'ALMOND MILK (200 ML)']"
21001,"['Cappucino (350 ML)', 'Almond Frappe (350 ML)', 'Madagascar Hot Chocolate (250 ML)', 'Berliners (Dark Choco Mousse Berliner)']"
21002,"['Iced Americano (350 ML)', 'Cafe Latte (250 ML)']"
21003,"['Classic Frappe (350 ML)', 'Berliners (Nutella Berliner)']"
21005,"['South Indian Filter Kaapi (250 ML)', 'Origanal South Indian Frappe (350 ML)', 'Origanal South Indian Frappe (450 ML)', 'Origanal South Indian Frappe (350 ML)']"
21006,"['Iced Americano (350 ML)', 'Add On Syrup (Add On Tiramisu Syrup)']"
C2278,['South Indian Filter Kaapi (150 ML)']
C2279,"['Americano (250 ML)', 'South Indian Filter Kaapi (150 ML)', 'Papparoti (Plain)']"
C2280,"['Tartlets (Kacha Nimbu Tartlet)', 'Kaapicino (250 ML)', 'Rosella Jam With Filter Coffee Ganache Macaroon (1 PIC)']"
C2282,"['South Indian Filter Kaapi (150 ML)', 'Rosella Jam With Filter Coffee Ganache Macaroon (1 PIC)']"
C2283,['Origanal South Indian Frappe (350 ML)']
C2284,"['Cappucino (250 ML)', 'Cafe Latte (250 ML)']"
C2285,['Rosella Jam With Filter Coffee Ganache Macaroon (1 PIC)']
C2286,"['Vietnamese (350 ML)', 'Irish Americano (250 ML)']"
C2287,['Origanal South Indian Frappe (350 ML)']
C2288,['Vietnamese (350 ML)']
C2289,['Rosella Jam With Filter Coffee Ganache Macaroon (1 PIC)']
C2290,"['Cappucino (250 ML)', 'Add On Syrup (Add On hazelnuts Syrup)', 'Papparoti (Plain)']"
C2291,['Hazelnut Frappe (350 ML)']
C2292,['Rosella Jam With Filter Coffee Ganache Macaroon (1 PIC)']
C2293,['Papparoti (Plain)']
C2295,['South Indian Filter Kaapi (150 ML)']
C2297,['Calzones Veg (Calzone Paneer)']
C2298,['Choco-crinkle-cookies (COMBO 6 PCS)']
C2299,"['Origanal South Indian Frappe (350 ML)', 'Iced Americano (350 ML)', 'Add On Syrup (Add On Irish Syrup)']"
C2300,"['Kaapicino (250 ML)', 'Rosella Jam With Filter Coffee Ganache Macaroon (1 PIC)']"
C2301,['Berliners (Nutella Berliner)']
C2302,['Papparoti (Add On Nutella sauce)']
C2303,['South Indian Filter Kaapi (150 ML)']
C2304,['Vietnamese (350 ML)']
C2305,['South Indian Filter Kaapi (150 ML)']
C2306,['Iced Americano (350 ML)']
C2307,['Papparoti (Add On Nutella sauce)']
C2308,['Madagascar Hot Chocolate (250 ML)']
C2309,"['Mix Berliner 2 Pcs (Nutella Berliner)', 'Mix Berliner 2 Pcs (Dark Choco Mousse Berliner)']"
C2310,['South Indian Filter Kaapi (150 ML)']
C2312,['Origanal South Indian Frappe (350 ML)']
C2313,"['Rosella Jam With Filter Coffee Ganache Macaroon (1 PIC)', 'Rosella Jam With Filter Coffee Ganache Macaroon (1 PIC)']"
C2314,"['South Indian Filter Kaapi (150 ML)', 'Americano (250 ML)']"
C2315,['Rosella Jam With Filter Coffee Ganache Macaroon (1 PIC)']
